"account_id,customer_id,account_type,currency,opened_date,status,credit_limit,current_balance,overdraft_limit"
"A001,C001,CURRENT,UAH,2018-01-15,ACTIVE,0,15420.50,0"
"A002,C001,SAVINGS,UAH,2018-06-10,ACTIVE,0,87300.00,0"
"A003,C001,CREDIT,UAH,2019-03-01,ACTIVE,50000,0,50000"
"A004,C002,CURRENT,UAH,2019-03-20,ACTIVE,0,3210.75,500"
"A005,C003,CURRENT,UAH,2017-06-01,ACTIVE,0,8900.00,0"
"A006,C003,SAVINGS,USD,2018-01-10,ACTIVE,0,2500.00,0"
"A007,C004,CURRENT,UAH,2020-09-10,ACTIVE,0,1200.00,300"
"A008,C005,CURRENT,UAH,2016-12-05,ACTIVE,0,42100.00,0"
"A009,C005,SAVINGS,USD,2017-04-20,ACTIVE,0,15000.00,0"
"A010,C005,CREDIT,UAH,2018-09-15,ACTIVE,100000,0,100000"
"A011,C006,CURRENT,UAH,2021-02-14,ACTIVE,0,800.00,200"
"A012,C007,CURRENT,UAH,2015-07-19,ACTIVE,0,125000.00,0"
"A013,C007,SAVINGS,EUR,2016-03-01,ACTIVE,0,8000.00,0"
"A014,C007,CREDIT,UAH,2017-01-10,ACTIVE,200000,0,200000"
"A015,C008,CURRENT,UAH,2018-11-22,ACTIVE,0,6700.00,0"
"A016,C009,CURRENT,UAH,2014-04-30,ACTIVE,0,98000.00,0"
"A017,C009,SAVINGS,UAH,2015-06-15,ACTIVE,0,340000.00,0"
"A018,C010,CURRENT,UAH,2022-01-05,ACTIVE,0,500.00,100"
"A019,C011,CURRENT,UAH,2017-08-15,ACTIVE,0,28900.00,0"
"A020,C011,SAVINGS,USD,2019-01-20,ACTIVE,0,5000.00,0"
"A021,C012,CURRENT,UAH,2019-07-11,ACTIVE,0,4500.00,0"
"A022,C013,CURRENT,UAH,2018-03-25,ACTIVE,0,7300.00,500"
"A023,C014,CURRENT,UAH,2020-11-30,ACTIVE,0,1800.00,200"
"A024,C015,CURRENT,UAH,2016-05-08,ACTIVE,0,35200.00,0"
"A025,C015,CREDIT,UAH,2018-02-14,ACTIVE,80000,0,80000"
"A026,C016,CURRENT,UAH,2021-06-17,ACTIVE,0,1100.00,100"
"A027,C017,CURRENT,UAH,2015-09-12,ACTIVE,0,175000.00,0"
"A028,C017,SAVINGS,EUR,2016-08-01,ACTIVE,0,12000.00,0"
"A029,C018,CURRENT,UAH,2019-01-28,ACTIVE,0,9100.00,0"
"A030,C019,CURRENT,UAH,2020-04-22,ACTIVE,0,5600.00,300"
"A031,C020,CURRENT,UAH,2018-06-03,BLOCKED,0,2300.00,0"
"A032,C021,CURRENT,UAH,2022-08-19,ACTIVE,0,700.00,0"
"A033,C022,CURRENT,UAH,2017-10-14,ACTIVE,0,12400.00,0"
"A034,C023,CURRENT,UAH,2023-01-10,ACTIVE,0,400.00,0"
"A035,C024,CURRENT,UAH,2016-02-28,ACTIVE,0,44000.00,0"
"A036,C025,CURRENT,UAH,2014-11-11,ACTIVE,0,210000.00,0"
"A037,C025,SAVINGS,USD,2015-03-20,ACTIVE,0,25000.00,0"
"A038,C025,SAVINGS,EUR,2016-06-01,ACTIVE,0,15000.00,0"
