"application_id,customer_id,application_date,loan_type,requested_amount,approved_amount,interest_rate,term_months,status,rejection_reason,disbursement_date"
"L001,C001,2022-03-10,PERSONAL,50000,45000,18.5,24,APPROVED,,2022-03-15"
"L002,C002,2022-05-20,AUTO,120000,100000,14.0,36,APPROVED,,2022-05-28"
"L003,C003,2022-07-15,MORTGAGE,800000,700000,11.5,120,APPROVED,,2022-08-01"
"L004,C004,2022-09-01,PERSONAL,30000,0,0,0,REJECTED,LOW_CREDIT_SCORE,"
"L005,C005,2021-06-10,BUSINESS,500000,500000,12.0,60,APPROVED,,2021-06-20"
"L006,C006,2022-11-15,PERSONAL,20000,0,0,0,REJECTED,INSUFFICIENT_INCOME,"
"L007,C007,2020-04-01,MORTGAGE,2000000,1800000,10.5,180,APPROVED,,2020-04-15"
"L008,C008,2023-01-10,AUTO,80000,70000,15.5,48,APPROVED,,2023-01-18"
"L009,C009,2019-08-20,BUSINESS,1000000,900000,11.0,84,APPROVED,,2019-09-01"
"L010,C010,2023-03-05,PERSONAL,15000,0,0,0,REJECTED,LOW_CREDIT_SCORE,"
"L011,C011,2022-04-15,PERSONAL,40000,40000,17.5,24,APPROVED,,2022-04-22"
"L012,C012,2023-05-20,AUTO,90000,80000,14.5,36,APPROVED,,2023-05-28"
"L013,C013,2022-08-10,PERSONAL,35000,30000,19.0,24,APPROVED,,2022-08-17"
"L014,C014,2023-07-01,PERSONAL,25000,0,0,0,REJECTED,INSUFFICIENT_INCOME,"
"L015,C015,2021-09-15,BUSINESS,300000,280000,13.0,48,APPROVED,,2021-09-25"
"L016,C016,2023-09-10,PERSONAL,18000,0,0,0,REJECTED,LOW_CREDIT_SCORE,"
"L017,C017,2018-12-01,MORTGAGE,3000000,2500000,10.0,240,APPROVED,,2018-12-20"
"L018,C018,2022-06-15,AUTO,70000,65000,16.0,36,APPROVED,,2022-06-22"
"L019,C019,2022-10-20,PERSONAL,35000,30000,18.0,24,APPROVED,,2022-10-28"
"L020,C021,2023-11-05,PERSONAL,10000,0,0,0,REJECTED,LOW_CREDIT_SCORE,"
"L021,C022,2021-11-10,PERSONAL,30000,28000,18.5,24,APPROVED,,2021-11-18"
"L022,C024,2020-07-20,BUSINESS,400000,380000,12.5,60,APPROVED,,2020-07-30"
"L023,C025,2017-03-15,MORTGAGE,5000000,4500000,9.5,300,APPROVED,,2017-03-30"
